,Company,New Filing?,Reported funding,Incremental Cash ,Date,New or Amended
4871,"WUPIMA INC  (Other Technology - Vienna, VA)",Yes,"$962,574","$962,574",2011-11-04,New Filing
4872,"SEQUELLA INC.  (Pharmaceuticals - Rockville, MD)",Yes,"$50,000","$50,000",2011-11-04,New Filing
4873,"ESI Investors III LLC  (Pooled Investment Fund - Arlington, VA)",Yes,Yet to Sell,$0,2011-11-03,New Filing
4874,"MicroVest Short Duration Fund, LP  (Pooled Investment Fund - Bethesda, MD)",No,"$12,300,000","$5,200,000",2011-11-03,Amended
4875,"CounterTack Inc.  (Other Technology - Waltham, VA)",Yes,"$9,000,000","$9,000,000",2011-11-02,New Filing
4876,"ClearPath, Inc.  (Other Technology - Miami, MD)",Yes,"$1,063,440","$1,063,440",2011-11-02,New Filing
4877,"VITAL SHOEFITR INVESTORS LLC  (Other - Bethesda, MD)",Yes,"$560,000","$560,000",2011-11-02,New Filing
4878,"Flexible Medical Systems LLC  (Other Health Care - Rockville, MD)",Yes,"$922,932","$922,932",2011-11-01,New Filing
4879,"MicroVest Plus Offshore Fund Ltd.  (Pooled Investment Fund - Bethesda, MD)",Yes,"$360,674","$360,674",2011-10-31,New Filing
4880,"MicroVest Plus, LP (Fixed Rate Notes)  (Pooled Investment Fund - Bethesda, MD)",Yes,"$11,355,000","$11,355,000",2011-10-31,New Filing
4881,"MicroVest Plus, LP  (Pooled Investment Fund - Bethesda, MD)",Yes,"$5,284,875","$5,284,875",2011-10-31,New Filing
4882,"DK 2011-D, LLC  (Pooled Investment Fund - Mclean, VA)",Yes,"$159,000","$159,000",2011-10-28,New Filing
4883,"Citygate Films LLC  (Other - Arlington, VA)",No,"$400,000","$310,000",2011-10-26,Amended
4884,"National Security Partners, LLC  (Other - Arlington, VA)",Yes,"$21,500,000","$21,500,000",2011-10-24,New Filing
4885,"MIDCAP FINANCIAL HOLDINGS LLC  (Other Banking and Financial Services - Bethesda, MD)",Yes,$0,$0,2011-10-24,New Filing
4886,"M FIVE, INC.  (Other - Bethesda, MD)",Yes,"$400,000","$400,000",2011-10-24,New Filing
4887,"CookieZen LLC  (Other - Falls Church, VA)",Yes,"$125,000","$125,000",2011-10-20,New Filing
4888,"newBrandAnalytics, Inc.  (Other Technology - Washington, DC)",Yes,"$23,194,132","$23,194,132",2011-10-20,New Filing
4889,"Carlyle Scopel Mezzanine Loan Partners, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$40,809,165","$40,809,165",2011-10-19,New Filing
4890,"TZG - Sachs Empire LLC  (Other - Rockville, MD)",Yes,Yet to Sell,$0,2011-10-18,New Filing
4891,"Bluestone Investment Partners, LP  (Investing - Mclean, VA)",Yes,"$26,950,000","$26,950,000",2011-10-17,New Filing
4892,"Invincea, Inc.  (Other Technology - Fairfax, VA)",Yes,"$5,142,993","$5,142,993",2011-10-14,New Filing
4893,"Energy Management & Security Solutions, LLC  (Other Technology - Bethesda, MD)",Yes,"$8,986,925","$8,986,925",2011-10-13,New Filing
4894,"MICROFINANCE INTERNATIONAL Corp  (Other Banking and Financial Services - Washington, DC)",Yes,"$8,740,000","$8,740,000",2011-10-12,New Filing
4895,"Seva Search, Inc.  (Other Technology - Potomac, MD)",Yes,"$1,300,000","$1,300,000",2011-10-11,New Filing
4896,"GRILLMARX, L.L.C.  (Restaurants - Olney, MD)",No,"$1,000,000","$1,000,000",2011-10-11,Amended
4897,"NEXTGEN Equipage Fund, LLC  (Other - Washington, DC)",Yes,"$4,052,000","$4,052,000",2011-10-11,New Filing
4898,"LIQUIDITY SERVICES INC  (Other - Bethesda, DC)",Yes,"$66,681,068","$66,681,068",2011-10-11,New Filing
4899,"Highline Wealth Management, LLC  (Investing - Rockville, MD)",Yes,"$3,050,000","$3,050,000",2011-10-11,New Filing
4900,"LIVINGSOCIAL, INC.  (Other Technology - Washington, DC)",Yes,"$142,885,199","$142,885,199",2011-10-07,New Filing
4901,"ASC Ticket Co., LLC  (Other - Gaithersburg, MD)",Yes,"$2,150,000","$2,150,000",2011-10-06,New Filing
4902,"Seniors Housing Investment III REIT, Inc.  (REITS and Finance - Reston, VA)",Yes,"$125,000","$125,000",2011-10-06,New Filing
4903,"First Potomac Realty Investment Limited Partnership  (REITS and Finance - Bethesda, MD)",Yes,"$31,196,952","$31,196,952",2011-10-05,New Filing
4904,"City Light Carbon LLC  (Other Energy - Great Falls, VA)",Yes,"$4,631,000","$4,631,000",2011-10-04,New Filing
4905,"EMERALD DAIRY INC  (Agriculture - Reston,, VA)",Yes,"$340,000","$340,000",2011-10-03,New Filing
4906,"IJJ CORP  (Telecommunications - Landover, MD)",Yes,"$45,136","$45,136",2011-09-30,New Filing
4907,"Grotech Ventures II, L.P.  (Pooled Investment Fund - Vienna, VA)",Yes,Yet to Sell,$0,2011-09-29,New Filing
4908,"Synteractive, Inc.  (Computers - Washington, DC)",Yes,Yet to Sell,$0,2011-09-28,New Filing
4909,"CC Arlington Ridge, LLC  (Restaurants - Arlington, VA)",Yes,"$300,000","$300,000",2011-09-28,New Filing
4910,"COSMOSID INC  (Biotechnology - College Park, MD)",Yes,"$100,000","$100,000",2011-09-27,New Filing
4911,"Evolent Health LLC  (Other Health Care - Arlington, DC)",Yes,"$20,000,000","$20,000,000",2011-09-27,New Filing
4912,"Farragut Mezzanine Partners III, LP  (Pooled Investment Fund - Chevy Chase, VA)",Yes,"$16,716,667","$16,716,667",2011-09-26,New Filing
4913,"Fundrise Fund, LLC  (Commercial - Washington, DC)",Yes,"$50,000","$50,000",2011-09-23,New Filing
4914,"Holland Development Group LLC  (Commercial - Washington, DC)",No,"$2,683,333",$0,2011-09-22,Amended
4915,"Holland Development Group L.L.C.  (Commercial - Washington, DC)",Yes,"$2,683,333","$2,683,333",2011-09-19,New Filing
4916,"DNA Health Corp.  (Other - Burtonsville, MD)",Yes,"$600,000","$600,000",2011-09-16,New Filing
4917,"SynerGene Therapeutics, Inc.  (Biotechnology - Potomac, MD)",Yes,"$1,570,000","$1,570,000",2011-09-14,New Filing
4918,"uKnow.com, Inc.  (Other Technology - Arlington, VA)",No,"$850,000","$385,000",2011-09-09,Amended
4919,"Declarative Holdings, Inc.  (Other Technology - New York, VA)",Yes,"$11,050,000","$11,050,000",2011-09-08,New Filing
4920,"57 STARS GLOBAL OPPORTUNITY FUND 3 (U.S.), L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2011-09-08,New Filing
4921,"57 STARS GLOBAL OPPORTUNITY FUND 3 (CAYMAN), L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2011-09-08,New Filing
4922,"Winehaus, LLC  (Restaurants - Rockville, MD)",No,"$100,000",$0,2011-09-08,Amended
4923,"Broadstone Investors III, L.P.  (Commercial - Burke, VA)",Yes,"$8,000,000","$8,000,000",2011-09-08,New Filing
4924,"Oak Creek MHC, LLC  (Residential - Bowie, MD)",Yes,"$100,000","$100,000",2011-09-07,New Filing
4925,"GLOBALLOGIC INC  (Other Technology - Mc Lean, VA)",Yes,"$10,400,139","$10,400,139",2011-09-07,New Filing
4926,"Winehaus, LLC  (Restaurants - Rockville, MD)",Yes,"$100,000","$100,000",2011-09-06,New Filing
4927,"Blue Chip Career LLC  (Other - Arlington, VA)",Yes,"$508,000","$508,000",2011-09-06,New Filing
4928,"Audax Health Solutions, Inc.  (Other Health Care - Washington, DC)",Yes,"$5,958,446","$5,958,446",2011-09-02,New Filing
4929,"MATCH GLOBAL LP  (Pooled Investment Fund - Gaithersburg, MD)",No,"$4,259,900",$0,2011-08-31,Amended
4930,"KNEWCO INC  (Other Technology - Washington, MD)",No,"$2,640,000",$0,2011-08-30,Amended
4931,"ND BAKKEN FUND II, LLP  (Oil and Gas - Mclean, VA)",Yes,"$15,600,000","$15,600,000",2011-08-30,New Filing
4932,"Hunt Capital Partners Tax Credit Fund 2011-1, LP  (Pooled Investment Fund - Alexandria, VA)",Yes,"$33,000,000","$33,000,000",2011-08-24,New Filing
4933,"Arlington Capital Partners III, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",No,"$415,500,000","$40,250,000",2011-08-24,Amended
4934,"TMS NeuroHealth Centers Tysons Corner, LLC  (Other Health Care - Mclean, VA)",Yes,"$750,000","$750,000",2011-08-23,New Filing
4935,"Black Diamond Investment Partners, LP  (Pooled Investment Fund - Falls Church, VA)",Yes,Yet to Sell,$0,2011-08-22,New Filing
4936,"FutureGen Co  (Other Real Estate - Washington, DC)",Yes,Yet to Sell,$0,2011-08-22,New Filing
4937,"COSMOSID INC  (Biotechnology - College Park, MD)",Yes,"$1,215,000","$1,215,000",2011-08-19,New Filing
4938,"CeltixConnect Equity Investors LLC  (Pooled Investment Fund - Washington, DC)",Yes,"$6,450,000","$6,450,000",2011-08-19,New Filing
4939,"Atlantic Multi Family III, LLC  (Residential - Gaithersburg, MD)",Yes,"$1,275,000","$1,275,000",2011-08-18,New Filing
4940,"Eqalix, Inc.  (Biotechnology - Reston, VA)",Yes,"$25,000","$25,000",2011-08-16,New Filing
4941,"Carlyle Strategic Partners III, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$118,350,000","$118,350,000",2011-08-12,New Filing
4942,"EJF Debt Opportunities Fund II, Ltd.  (Pooled Investment Fund - Arlington, VA)",Yes,"$6,000,000","$6,000,000",2011-08-12,New Filing
4943,"EJF Debt Opportunities Master Fund II, LP  (Pooled Investment Fund - Arlington, VA)",Yes,"$9,000,000","$9,000,000",2011-08-12,New Filing
4944,"Atlantic Multi Family II, LLC  (Residential - Gaithersburg, MD)",Yes,"$1,050,000","$1,050,000",2011-08-12,New Filing
4945,"Skai, Inc.  (Telecommunications - Arlington, VA)",Yes,"$116,978","$116,978",2011-08-12,New Filing
4946,"Salsa Labs, Inc.  (Business Services - Bethesda, DC)",Yes,"$5,000,000","$5,000,000",2011-08-11,New Filing
4947,"SEQUELLA INC.  (Pharmaceuticals - Rockville, MD)",Yes,"$550,000","$550,000",2011-08-10,New Filing
4948,"Carlyle U.S. Equity Opportunity Fund, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$243,925,000","$243,925,000",2011-08-09,Amended
4949,"SIMPLEX CAPITAL PARTNERS LP  (Pooled Investment Fund - Great Falls, VA)",Yes,"$2,700,000","$2,700,000",2011-08-09,New Filing
4950,"PREVISTAR INC  (Other - Alexandria, VA)",Yes,"$2,578,676","$2,578,676",2011-08-08,New Filing
4951,"410 Labs, Inc.  (Other Technology - Bethesda, MD)",Yes,"$749,997","$749,997",2011-08-08,New Filing
4952,"JBG Investment Fund VIII, L.L.C.  (Other Real Estate - Chevy Chase, MD)",Yes,"$382,425,000","$382,425,000",2011-08-05,New Filing
4953,"JBG/Fund VIII Family, L.L.C.  (Other Real Estate - Chevy Chase, MD)",Yes,"$2,945,000","$2,945,000",2011-08-05,New Filing
4954,"JBG/Fund VIII Investor, L.L.C.  (Other Real Estate - Chevy Chase, MD)",Yes,"$3,250,000","$3,250,000",2011-08-05,New Filing
4955,"JBG/Fund VIII Qualified Investor, L.L.C.  (Other Real Estate - Chevy Chase, MD)",Yes,"$25,825,000","$25,825,000",2011-08-05,New Filing
4956,"Democracy Engine, LLC  (Other Technology - Washington, DC)",Yes,"$100,000","$100,000",2011-08-02,New Filing
4957,"KZO INNOVATIONS INC  (Other Technology - Reston, VA)",Yes,"$1,536,742","$1,536,742",2011-08-02,New Filing
4958,"MYRETE, Inc.  (Other Technology - Annandale, VA)",Yes,"$1,250,100","$1,250,100",2011-08-01,New Filing
4959,"CODERYTE INC  (Other Health Care - Bethesda, MD)",Yes,"$2,500,000","$2,500,000",2011-07-29,New Filing
4960,"Union Labor Life Insurance Co Separate Account W1  (Pooled Investment Fund - Silver Spring, DC)",No,"$125,320,000","$110,320,000",2011-07-29,Amended
4961,"Linked Senior, Inc.  (Other - Washington, DC)",Yes,Yet to Sell,$0,2011-07-29,New Filing
4962,"Ullico International Group Trust  (Pooled Investment Fund - Silver Spring, DC)",No,"$206,581,073","$206,410,815",2011-07-27,Amended
4963,"VITAL FINANCIAL 2011B, LLC  (Other - Bethesda, MD)",No,"$874,982",$0,2011-07-27,Amended
4964,"TRAFFICLAND INC  (Other Technology - Fairfax, VA)",Yes,"$2,134,781","$2,134,781",2011-07-27,New Filing
4965,"Ullico Diversified International Equity Fund, L.P.  (Pooled Investment Fund - Silver Spring, DC)",No,"$630,212,757","$72,423,603",2011-07-27,Amended
4966,"ULLICO DIVERSIFIED SMID CAP FUND, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$5,000,000","$5,000,000",2011-07-27,Amended
4967,"Ullico Infrastructure Tax-Exempt Fund, L.P.  (Pooled Investment Fund - Silver Spring, DC)",No,Yet to Sell,$0,2011-07-27,Amended
4968,"Nuo Therapeutics, Inc.  (Biotechnology - Gaithersburg,, MD)",Yes,"$1,300,000","$1,300,000",2011-07-26,New Filing
4969,"Nuo Therapeutics, Inc.  (Biotechnology - Gaithersburg,, MD)",Yes,"$600,000","$600,000",2011-07-26,New Filing
4970,"3Pillar Global, Inc  (Other Technology - Fairfax, VA)",Yes,"$7,000,000","$7,000,000",2011-07-26,New Filing
4971,"GLOBALLOGIC INC  (Other Technology - Mc Lean, VA)",Yes,"$1,624,010","$1,624,010",2011-07-26,New Filing
4972,"REVOLUTION GROWTH II, LP  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2011-07-22,New Filing
4973,"Conestoga Trust  (Other - Atlanta, DC)",No,"$12,062,794",$0,2011-07-22,Amended
4974,"EdgeConneX, Inc.  (Other Technology - Herndon, VA)",Yes,"$2,500,001","$2,500,001",2011-07-22,New Filing
4975,"CVENT INC  (Other Technology - Mclean, VA)",Yes,"$135,866,671","$135,866,671",2011-07-22,New Filing
4976,"MANDIANT Corp  (Other Technology - Alexandria, VA)",Yes,"$69,991,495","$69,991,495",2011-07-22,New Filing
4977,"FCP Realty Fund II, L.P.  (REITS and Finance - Chevy Chase, DC)",No,"$326,500,000","$204,000,000",2011-07-21,Amended
4978,"CCP Real Estate Opportunity Fund, LP  (Pooled Investment Fund - Ellicott City, MD)",Yes,$0,$0,2011-07-21,New Filing
4979,"CMS IRONWOOD MULTI STRATEGY FUND LLC  (Pooled Investment Fund - Potomac, MD)",No,"$608,194,878",$0,2011-07-20,Amended
4980,"Roadside Deli Projects  (Restaurants - Washington, DC)",Yes,"$100,000","$100,000",2011-07-20,New Filing
4981,"KiwiTech LLC  (Other Technology - Washington, DC)",Yes,"$375,000","$375,000",2011-07-20,New Filing
4982,"Management CV, Inc.  (Other - Bethesda, MD)",No,"$250,000",$0,2011-07-19,Amended
4983,"Management CV, Inc.  (Other - Bethesda, MD)",Yes,"$250,000","$250,000",2011-07-19,New Filing
4984,"ID.me, Inc.  (Other Technology - Mclean, DC)",No,"$925,000","$390,000",2011-07-18,Amended
4985,"Optoro, Inc.  (Other - Lanham, MD)",No,"$2,999,990","$1,604,591",2011-07-18,Amended
4986,"VITAL FINANCIAL 2011B, LLC  (Other - Bethesda, MD)",Yes,"$874,982","$874,982",2011-07-18,New Filing
4987,"KoolSpan, Inc.  (Other Technology - Bethesda, MD)",Yes,"$4,000,000","$4,000,000",2011-07-18,New Filing
4988,"Windermere Equity Fund Series  (Pooled Investment Fund - Potomac, MD)",No,"$354,903,597","$238,378,097",2011-07-15,Amended
4989,"Windermere Equity Fund Series  (Pooled Investment Fund - Potomac, MD)",No,"$358,915,790","$201,563,290",2011-07-15,Amended
4990,"Jupiter Fund Plus Series of Windermere Jupiter Fund LLC  (Pooled Investment Fund - Potomac, MD)",No,"$37,220,148",$0,2011-07-15,Amended
4991,"WINDERMERE OPPORTUNISTIC FUND SERIES OF WINDERMERE JUPITER FUND LLC  (Pooled Investment Fund - Potomac, MD)",No,"$143,797,386","$53,862,606",2011-07-15,Amended
4992,"CMS/BARLOW LONG SHORT EQUITY FUND LLC  (Pooled Investment Fund - Potomac, MD)",No,"$382,284,841","$14,301,000",2011-07-15,Amended
4993,"Enterra Solutions, LLC  (Other Technology - Newtown, VA)",Yes,"$35,000","$35,000",2011-07-15,New Filing
4994,"Conestoga Trust  (Other - Atlanta, DC)",No,"$12,062,794",$0,2011-07-15,Amended
4995,"Empire Petroleum Partners, LLC  (Oil and Gas - Dallas, MD)",Yes,"$30,487,500","$30,487,500",2011-07-15,New Filing
4996,"RAZORSIGHT CORP  (Other Technology - Reston, VA)",Yes,"$7,303,781","$7,303,781",2011-07-14,New Filing
4997,"MONSOON ASIA-PACIFIC SYSTEMATIC FUND, L.P.  (Pooled Investment Fund - Bethesda, MD)",Yes,"$1,000,000","$1,000,000",2011-07-14,New Filing
4998,"Spurfly, Inc.  (Other Technology - Arlington, VA)",No,"$175,500","$91,000",2011-07-14,Amended
4999,"Doctors Nutritional Associates, LLC  (Other Health Care - Greenbelt, MD)",Yes,Yet to Sell,$0,2011-07-13,New Filing
5000,"COMMUNITY BANK MORTGAGE LLC  (Commercial Banking - Washington, DC)",Yes,"$9,500","$9,500",2011-07-13,New Filing
5001,"Convention Center Jobs Fund, L.P.  (Investing - Washington, DC)",Yes,"$2,634,000","$2,634,000",2011-07-13,New Filing
5002,"WeddingWire, Inc.  (Other - Bethesda, MD)",Yes,"$400,000","$400,000",2011-07-12,New Filing
5003,"Federated Sports & Gaming, Inc.  (Other - Washington, DC)",No,"$1,000,000",$0,2011-07-12,Amended
5004,"Carlyle Realty Partners VI, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$1,577,546,555","$542,250,000",2011-07-11,Amended
5005,"GeoPay, Inc.  (Other Technology - Reston, VA)",Yes,"$100,000","$100,000",2011-07-11,New Filing
5006,"TITAN FITNESS LLC  (Other - Mclean, VA)",Yes,"$4,600,000","$4,600,000",2011-07-08,New Filing
5007,"GTV GLOBOKASNET LLC  (Other Banking and Financial Services - Chevy Chase, MD)",Yes,"$850,000","$850,000",2011-07-08,New Filing
5008,"CANVAS SOLUTIONS INC  (Other Technology - Reston, VA)",Yes,"$1,205,467","$1,205,467",2011-07-07,New Filing
5009,"HILLSON INCOME PARTNERS, LP  (Pooled Investment Fund - Rockville, MD)",Yes,"$1,650,000","$1,650,000",2011-07-07,New Filing
5010,"FIBERZONE NETWORKS INC  (Telecommunications - Bethesda, MD)",Yes,"$11,624,816","$11,624,816",2011-07-06,New Filing
5011,"Spree Commerce, Inc.  (Other Technology - Chevy Chase, MD)",Yes,"$1,299,999","$1,299,999",2011-07-06,New Filing
5012,"LIVINGSOCIAL, INC.  (Other Technology - Washington, DC)",Yes,"$4,806,203","$4,806,203",2011-07-06,New Filing
5013,"LIVINGSOCIAL, INC.  (Other Technology - Washington, DC)",Yes,"$24,580,860","$24,580,860",2011-07-06,New Filing
5014,"CVCertify, Inc.  (Other Technology - Reston, VA)",Yes,"$197,630","$197,630",2011-07-01,New Filing
5015,"VITAL FINANCIAL 2011A, LLC  (Other - Bethesda, MD)",Yes,"$175,000","$175,000",2011-07-01,New Filing
5016,"VISION III IMAGING INC  (Other - Vienna, VA)",Yes,"$70,000","$65,000",2011-07-01,New Filing
5017,"Veda Healthcare Opportunity Fund, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",Yes,"$1,005,000","$1,005,000",2011-06-30,New Filing
5018,"FluTrends International Corp  (Other Health Care - Reston, VA)",Yes,"$300,000","$300,000",2011-06-30,New Filing
5019,"YoBucko, Inc.  (Other Technology - Falls Church, VA)",Yes,"$125,125","$125,125",2011-06-30,New Filing
5020,"WiserTogether, Inc.  (Other Technology - Boston, DC)",No,"$1,397,255","$512,261",2011-06-30,Amended
5021,"VIRTUSTREAM INC  (Other Technology - Bethesda, MD)",Yes,"$10,050,916","$10,050,916",2011-06-28,New Filing
5022,"UIP Trio Invest LLC  (Other Real Estate - Washington, DC)",Yes,"$250,000","$250,000",2011-06-28,New Filing
5023,"ID.me, Inc.  (Other Technology - Mclean, DC)",Yes,"$120,000","$120,000",2011-06-27,New Filing
5024,"ROI2, Inc.  (Other Technology - Reston, VA)",Yes,"$1,000,000","$1,000,000",2011-06-24,New Filing
5025,"Donor Egg Bank USA, LLC  (Other - Rockville, MD)",Yes,"$250,000","$250,000",2011-06-24,New Filing
5026,"TRUFFLE HOUND GLOBAL VALUE, LLC  (Pooled Investment Fund - Bethesda, MD)",No,"$93,867,571","$6,164,975",2011-06-23,Amended
5027,"Concert Financial, LLC  (Pooled Investment Fund - Alexandria, VA)",Yes,"$20,000","$20,000",2011-06-23,New Filing
5028,"Sandy Spring Real Estate Opportunity Fund I, LLC  (Residential - Bethesda, MD)",No,"$1,125,000","$225,000",2011-06-23,Amended
5029,"THERANOSTICS HEALTH, INC.  (Biotechnology - Rockville, MD)",No,"$530,000","$15,000",2011-06-21,Amended
5030,"LucidMedia Networks, Inc.  (Other Technology - Reston, VA)",Yes,"$5,434,312","$5,434,312",2011-06-20,New Filing
5031,"Purpose Beverages, Inc.  (Manufacturing - Bethesda, MD)",Yes,"$110,000","$110,000",2011-06-20,New Filing
5032,"Velaport, LLC  (Other - Arlington, VA)",Yes,"$140,000","$140,000",2011-06-20,New Filing
5033,"Arlington Capital Partners III, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",No,"$375,250,000","$81,500,000",2011-06-20,Amended
5034,"BROADSOFT INC  (Telecommunications - Gaithersburg, MD)",Yes,Yet to Sell,$0,2011-06-20,New Filing
5035,"SQM Frontier Africa Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$134,925,000","$134,925,000",2011-06-17,Amended
5036,"MONSOON INDIA OPPORTUNITY FUND LP  (Pooled Investment Fund - Bethesda, MD)",No,"$32,871,591","$3,113,223",2011-06-15,Amended
5037,"Fleet Street Energy, LLC  (Energy Conservation - Washington, DC)",Yes,"$1,900,000","$1,900,000",2011-06-14,New Filing
5038,"Denuo, Inc.  (Other - Herndon, VA)",Yes,"$475,753","$475,753",2011-06-13,New Filing
5039,"JAB Partners, L.P.  (Pooled Investment Fund - Miami Beach, DC)",No,"$3,260,000","$3,260,000",2011-06-13,Amended
5040,"INFERX CORP  (Other Technology - Sterling, VA)",Yes,"$25,000","$25,000",2011-06-10,New Filing
5041,"BIOSCAN HOLDINGS INC  (Other Technology - Washington, DC)",Yes,"$753,250","$753,250",2011-06-10,New Filing
5042,"SCV Holdings 2011-Z1, LLC  (Pooled Investment Fund - Arlington, VA)",Yes,"$4,995,000","$4,995,000",2011-06-09,New Filing
5043,"TDNC Corp.  (Other Technology - Reston, VA)",Yes,"$175,000","$175,000",2011-06-09,New Filing
5044,"DIGITAL SIGNAL Corp  (Other Technology - Chantilly, VA)",No,"$12,616,282","$8,599,997",2011-06-08,Amended
5045,"Astrum Solar, Inc.  (Other Energy - Annapolis Junction, MD)",Yes,"$3,000,000","$3,000,000",2011-06-07,New Filing
5046,"ABRAMS BISON PARTNERS, LP  (Pooled Investment Fund - Bethesda, MD)",No,"$887,745,707","$218,537,900",2011-06-06,Amended
5047,"SEQUELLA INC.  (Pharmaceuticals - Rockville, MD)",Yes,"$1,000,000","$1,000,000",2011-06-02,New Filing
5048,"Green Generation Solutions, LLC  (Energy Conservation - Bethesda, MD)",Yes,"$2,000,000","$2,000,000",2011-05-31,New Filing
5049,"LIVINGSOCIAL, INC.  (Other Technology - Washington, DC)",Yes,"$999,994","$999,994",2011-05-27,New Filing
5050,"Mangrove Insurance Solutions, PCC  (Insurance - Washington, DC)",Yes,"$25,000","$25,000",2011-05-26,New Filing
5051,"Ragnar Studios, Inc.  (Other Technology - Arlington, VA)",Yes,"$75,000","$75,000",2011-05-26,New Filing
5052,"Booz Allen Hamilton Inc.  (Business Services - Mc Lean, VA)",No,"$7,718,850","$7,718,850",2011-05-26,Amended
5053,"TelStar Hosted Services, Inc.  (Other - Chevy Chase, MD)",Yes,"$631,080","$631,080",2011-05-25,New Filing
5054,"Insite Wireless Group, LLC  (Telecommunications - Alexandria, VA)",No,"$6,252,506","$729,088",2011-05-24,Amended
5055,"Illumina Consulting Group Inc  (Other Technology - Potomac, MD)",Yes,"$500,000","$500,000",2011-05-24,New Filing
5056,"GRILLMARX, L.L.C.  (Restaurants - Olney, MD)",Yes,$0,$0,2011-05-23,New Filing
5057,"CLEARSPRING TECHNOLOGIES INC  (Other Technology - Mclean, VA)",Yes,"$19,999,991","$19,999,991",2011-05-23,New Filing
5058,"GEF Africa Sustainable Forestry Fund, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",No,"$124,500,000","$43,250,000",2011-05-23,Amended
5059,"THERANOSTICS HEALTH, INC.  (Biotechnology - Rockville, MD)",Yes,"$1,000,000","$1,000,000",2011-05-20,New Filing
5060,"THERANOSTICS HEALTH, INC.  (Biotechnology - Rockville, MD)",No,"$515,000","$150,000",2011-05-20,Amended
5061,"Winston-Salem Investments, LLC  (Other Real Estate - Crofton, MD)",Yes,"$1,150,000","$1,150,000",2011-05-18,New Filing
5062,"HCI CO-INVESTORS III, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$1,257,639","$610,000",2011-05-18,Amended
5063,"Telcare, Inc.  (Other Health Care - Bethesda, MD)",Yes,"$1,000,000","$1,000,000",2011-05-17,New Filing
5064,"Carlyle Realty Partners VI, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$1,035,296,555","$661,800,000",2011-05-16,Amended
5065,"MONSOON INDIA OPPORTUNITY FUND LP  (Pooled Investment Fund - Bethesda, MD)",No,"$29,758,368","$2,491,478",2011-05-13,Amended
5066,"AMYX INC  (Business Services - Alexandria, VA)",Yes,"$579,157","$579,157",2011-05-12,New Filing
5067,"Energy Fund XV-A, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$977,430,000","$977,430,000",2011-05-12,Amended
5068,"Energy Fund XV (Cayman), L.P.  (Pooled Investment Fund - Washington, DC)",No,"$501,100,000","$501,100,000",2011-05-12,Amended
5069,"Energy Fund XV-B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$945,000,000","$945,000,000",2011-05-12,Amended
5070,"Energy Fund XV-B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$945,000,000",$0,2011-05-12,Amended
5071,"Energy Investors XV (Scotland), L.P.  (Pooled Investment Fund - Washington, DC)",No,"$265,000,000","$135,000,000",2011-05-12,Amended
5072,"Energy Fund XV, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$1,432,110,000","$1,432,110,000",2011-05-12,Amended
5073,"ZM&P US Holdings LLC  (Manufacturing - Mclean, VA)",Yes,"$1,700,000","$1,700,000",2011-05-11,New Filing
5074,"BCM Weston Accredited LP  (Pooled Investment Fund - Arlington, VA)",Yes,Yet to Sell,$0,2011-05-11,New Filing
5075,"CFBANC CORP/D C  (Other Banking and Financial Services - Washington, DC)",Yes,"$3,000","$3,000",2011-05-10,New Filing
5076,"BIOSURFACE ENGINEERING TECHNOLOGIES INC  (Other Health Care - Rockville, MD)",Yes,"$6,771,486","$6,771,486",2011-05-10,New Filing
5077,"EJF Greater China Fund, Ltd.  (Pooled Investment Fund - Arlington, VA)",Yes,"$110,000","$110,000",2011-05-09,New Filing
5078,"FUTURES PORTFOLIO FUND L.P.  (Pooled Investment Fund - Gaithersburg, MD)",No,"$1,635,099,110","$400,673,169",2011-05-09,Amended
5079,"SAGE FUND LP  (Pooled Investment Fund - Rockville, MD)",No,"$95,716,954","$4,652,514",2011-05-09,Amended
5080,"Mozarkite Emerging Markets Fund, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$250,000,000","$250,000,000",2011-05-09,New Filing
5081,"Mytonomy, Inc.  (Other Technology - Bethesda, MD)",No,"$255,000","$60,000",2011-05-05,Amended
5082,"Nuo Therapeutics, Inc.  (Biotechnology - Gaithersburg,, MD)",Yes,"$325,000","$325,000",2011-05-04,New Filing
